clean,hazy
clear/1.png,hazy/1_1_0.90179.png
clear/1.png,hazy/1_2_0.97842.png
clear/1.png,hazy/1_3_0.84256.png
clear/1.png,hazy/1_4_0.92941.png
clear/1.png,hazy/1_5_0.98345.png
clear/1.png,hazy/1_6_0.9039.png
clear/1.png,hazy/1_7_0.81551.png
clear/1.png,hazy/1_8_0.74588.png
clear/1.png,hazy/1_9_0.83139.png
clear/1.png,hazy/1_10_0.98796.png
clear/2.png,hazy/2_1_0.99082.png
clear/2.png,hazy/2_2_0.76381.png
clear/2.png,hazy/2_3_0.71438.png
clear/2.png,hazy/2_4_0.70173.png
clear/2.png,hazy/2_5_0.7745.png
clear/2.png,hazy/2_6_0.94385.png
clear/2.png,hazy/2_7_0.99118.png
clear/2.png,hazy/2_8_0.78092.png
clear/2.png,hazy/2_9_0.85023.png
clear/2.png,hazy/2_10_0.8305.png
clear/3.png,hazy/3_1_0.88255.png
clear/3.png,hazy/3_2_0.9726.png
clear/3.png,hazy/3_3_0.82855.png
clear/3.png,hazy/3_4_0.8616.png
clear/3.png,hazy/3_5_0.91692.png
clear/3.png,hazy/3_6_0.90077.png
clear/3.png,hazy/3_7_0.77907.png
clear/3.png,hazy/3_8_0.89994.png
clear/3.png,hazy/3_9_0.81761.png
clear/3.png,hazy/3_10_0.78198.png
clear/4.png,hazy/4_1_0.7483.png
clear/4.png,hazy/4_2_0.92872.png
clear/4.png,hazy/4_3_0.71865.png
clear/4.png,hazy/4_4_0.93685.png
clear/4.png,hazy/4_5_0.81031.png
clear/4.png,hazy/4_6_0.94015.png
clear/4.png,hazy/4_7_0.81529.png
clear/4.png,hazy/4_8_0.79904.png
clear/4.png,hazy/4_9_0.9803.png
clear/4.png,hazy/4_10_0.98695.png
clear/6.png,hazy/6_1_0.76384.png
clear/6.png,hazy/6_2_0.7352.png
clear/6.png,hazy/6_3_0.92861.png
clear/6.png,hazy/6_4_0.85459.png
clear/6.png,hazy/6_5_0.70108.png
clear/6.png,hazy/6_6_0.9404.png
clear/6.png,hazy/6_7_0.70998.png
clear/6.png,hazy/6_8_0.86944.png
clear/6.png,hazy/6_9_0.99756.png
clear/6.png,hazy/6_10_0.92548.png
clear/7.png,hazy/7_1_0.85438.png
clear/7.png,hazy/7_2_0.9272.png
clear/7.png,hazy/7_3_0.84506.png
clear/7.png,hazy/7_4_0.70396.png
clear/7.png,hazy/7_5_0.81931.png
clear/7.png,hazy/7_6_0.76136.png
clear/7.png,hazy/7_7_0.91282.png
clear/7.png,hazy/7_8_0.96123.png
clear/7.png,hazy/7_9_0.71.png
clear/7.png,hazy/7_10_0.97204.png
clear/8.png,hazy/8_1_0.88223.png
clear/8.png,hazy/8_2_0.81738.png
clear/8.png,hazy/8_3_0.9967.png
clear/8.png,hazy/8_4_0.73498.png
clear/8.png,hazy/8_5_0.8902.png
clear/8.png,hazy/8_6_0.82969.png
clear/8.png,hazy/8_7_0.96672.png
clear/8.png,hazy/8_8_0.84884.png
clear/8.png,hazy/8_9_0.80201.png
clear/8.png,hazy/8_10_0.7446.png
clear/10.png,hazy/10_1_0.85062.png
clear/10.png,hazy/10_2_0.70545.png
clear/10.png,hazy/10_3_0.91647.png
clear/10.png,hazy/10_4_0.98406.png
clear/10.png,hazy/10_5_0.7404.png
clear/10.png,hazy/10_6_0.97995.png
clear/10.png,hazy/10_7_0.73538.png
clear/10.png,hazy/10_8_0.94956.png
clear/10.png,hazy/10_9_0.95031.png
clear/10.png,hazy/10_10_0.88317.png
clear/11.png,hazy/11_1_0.87654.png
clear/11.png,hazy/11_2_0.82108.png
